MC,CLA,CLS,Q,CLR
145.48,147.62,151.03,2,"[142.3165087360873, 145.97217622406214, 150.86056938328414, 150.3298053549256, 161.5614418491101, 145.48358277679645, 147.83946961947066, 148.77301991835583, 161.71135834375426]"
145.97,147.62,151.03,2,"[145.97217622406214, 150.86056938328414, 150.3298053549256, 161.5614418491101, 145.48358277679645, 147.83946961947066, 148.77301991835583, 161.71135834375426, 147.74104472895576]"
147.62,158.82,151.03,2,"[145.97217622406214, 150.86056938328414, 150.3298053549256, 161.5614418491101, 145.48358277679645, 147.83946961947066, 148.77301991835583, 161.71135834375426, 147.74104472895576, 147.98983620100643]"
147.74,158.82,151.03,2,"[150.86056938328414, 150.3298053549256, 161.5614418491101, 145.48358277679645, 147.83946961947066, 148.77301991835583, 161.71135834375426, 147.74104472895576, 147.98983620100643, 153.63346061839]"
147.84,158.82,151.03,2,"[150.3298053549256, 161.5614418491101, 145.48358277679645, 147.83946961947066, 148.77301991835583, 161.71135834375426, 147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608]"
147.99,158.82,151.03,2,"[161.5614418491101, 145.48358277679645, 147.83946961947066, 148.77301991835583, 161.71135834375426, 147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085]"
148.77,158.82,151.03,2,"[145.48358277679645, 147.83946961947066, 148.77301991835583, 161.71135834375426, 147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038]"
148.88,158.82,151.03,2,"[147.83946961947066, 148.77301991835583, 161.71135834375426, 147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947]"
149.30,158.82,151.03,2,"[148.77301991835583, 161.71135834375426, 147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015]"
150.33,158.82,151.03,2,"[161.71135834375426, 147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278]"
150.86,158.82,151.03,2,"[147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544]"
151.03,158.82,161.03,1,"[147.74104472895576, 147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544]"
152.59,158.82,161.03,2,"[147.98983620100643, 153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544]"
153.63,158.82,161.03,2,"[153.63346061839, 148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544, 160.88138884602867]"
153.72,158.82,161.03,2,"[148.87677842187608, 156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544, 160.88138884602867, 160.18676264722487]"
153.96,158.82,161.03,2,"[156.98183175927085, 149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544, 160.88138884602867, 160.18676264722487, 168.1232496418553]"
